Trial;Mot1;Mot2;Mot3;cible;ciblebis;ciblebis2;ciblebis3;ciblebis4;ciblebis5;ciblebis6;ciblesub;ciblesub2;ciblesub3;ciblesyn;ciblesyn2;ciblesyn3;ciblesyn4;ciblesyn5;ciblesyn6;ciblesyn7;cibletest;cibletest2;cibletest3;cibletest4;cibletest5;cibletest6;cibletest7;Difficulte
Trial1; attention; victime; voiture;ACCIDENT;ROUTE;DANGER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;ATTENTAT;X;X;X;X;X;X;D
Trial2; goutte; bière; fête;ALCOOL;X;X;X;X;X;X;X;X;X;BOISSON;X;X;X;X;X;X;X;X;X;X;X;X;X;P
Trial3; offrir; surprendre; envelopper;CADEAU;AIMER;AMOUR;X;X;X;X;X;X;X;SUPRISE;X;X;X;X;X;X;X;X;X;X;X;X;X;P
Trial4; brun; tête; lisser;CHEVEUX;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;P
Trial5;saisir;écouter;expliquer;COMPRENDRE;X;X;X;X;X;X;COMPREHENSION;X;X;APPRENDRE;X;X;X;X;X;X;TRANSMETTRE;INSTRUCTION;INFORMATION;X;X;X;X;D
Trial6; écrire; feuille; pointe;CRAYON;STYLO;PAPIER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;PLUME;MINE;X;X;X;X;X;P
Trial7;composer;imaginer;produire;CREER;ECRIRE;INVENTER;CREATION;PRODUIRE;X;X;CREATION;CREATEUR;CREATIVITE;FABRIQUER;X;X;X;X;X;X;MUSIQUE;MUSICIEN;CHANSON;ŒUVRE;ARTISTE;X;X;P
Trial8;prier;vouloir;exiger;DEMANDER;X;X;X;X;X;X;DEMANDE;X;X;REQUETE;SOUHAITER;VŒU;DESIR;DESIRER;SOUHAIT;X;X;X;X;X;X;X;X;P
Trial9; faute; problème; recommencer;ERREUR;ECHEC;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;APPRENDRE;EXERCICE;SOLUTION;PERSEVERENCE;FRUSTRATION;X;X;P
Trial10; conscience; vif; âme;ESPRIT;X;X;X;X;X;X;X;X;X;CERVEAU;X;X;X;X;X;X;PENSEE;X;X;X;X;X;X;P
Trial11;branche;papier; ramasser;FEUILLE;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;BOIS;X;X;X;X;X;X;P
Trial12; tourner; action; personnage;FILM;X;X;X;X;X;X;FILMER;X;X;X;X;X;X;X;X;X;ACTEUR;CINEMA;COMEDIEN;X;X;X;X;D
Trial13; demi; minute; attendre;HEURE;TEMPS;X;X;X;X;X;X;X;X;DUREE;X;X;X;X;X;X;SECONDE;X;X;X;X;X;X;P
Trial14; article; annoncer; papier;JOURNAL;X;X;X;X;X;X;JOURNALISME;X;X;PRESSE;X;X;X;X;X;X;PUBLIER;X;X;X;X;X;X;P
Trial15; frais; pousser; haricot;LEGUME;LEGUMES;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;CULTURE;POTAGER;JARDIN;X;X;X;X;D
