Trial;Mot1;Mot2;Mot3;cible;ciblebis;ciblebis2;ciblebis3;ciblebis4;ciblebis5;ciblebis6;ciblesub;ciblesub2;ciblesub3;ciblesyn;ciblesyn2;ciblesyn3;ciblesyn4;ciblesyn5;ciblesyn6;ciblesyn7;cibletest;cibletest2;cibletest3;cibletest4;cibletest5;cibletest6;cibletest7;Difficulte
Trial1;offrir;surprendre;envelopper;CADEAU;AIMER;AMOUR;X;X;X;X;X;X;X;SUPRISE;X;X;X;X;X;X;X;X;X;X;X;X;X;P
Trial2;brun;tête;lisser;CHEVEUX;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;P
Trial3;écrire;feuille;pointe;CRAYON;STYLO;PAPIER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;PLUME;MINE;X;X;X;X;X;P
Trial4;faute;problème;recommencer;ERREUR;ECHEC;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;APPRENDRE;EXERCICE;SOLUTION;PERSEVERENCE;FRUSTRATION;X;X;P
Trial5;tourner;action;personnage;FILM;X;X;X;X;X;X;FILMER;X;X;X;X;X;X;X;X;X;ACTEUR;CINEMA;COMEDIEN;X;X;X;X;D
Trial6;demi;minute;attendre;HEURE;TEMPS;X;X;X;X;X;X;X;X;DUREE;X;X;X;X;X;X;SECONDE;X;X;X;X;X;X;P
Trial7;article;annoncer;papier;JOURNAL;X;X;X;X;X;X;JOURNALISME;X;X;PRESSE;X;X;X;X;X;X;PUBLIER;X;X;X;X;X;X;P
Trial8;frais;pousser;haricot;LEGUME;LEGUMES;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;CULTURE;POTAGER;JARDIN;X;X;X;X;D
Trial9;tour;sorcier;disparaître;MAGIE;MAGICIEN;X;X;X;X;X;MAGE;X;X;PRESTIDIGITATEUR;PRESTIDIGITATION;SORTILEGE;X;X;X;X;X;X;X;X;X;X;X;P
Trial10;pied;avancer;promener;MARCHER;MARCHE;X;X;X;X;X;X;X;X;BALADE;CHEMIN;RANDONNER;PAS;X;X;X;X;X;X;X;X;X;X;P
Trial11;examiner;guérisseur;cabinet;MEDECIN;DOCTEUR;MEDECINE;X;X;X;X;MEDICAL;X;X;X;X;X;X;X;X;X;SOIGNANT;SOIGNER;SOIN;X;X;X;X;P
Trial12;rocher;sommet;chaîne;MONTAGNE;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;ALPINISME;ESCALADE;X;X;X;X;X;P
Trial13;aile;libre;chant;OISEAU;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;ANGE;X;X;X;X;X;X;P
Trial14;sac;jeter;odeur;POUBELLE;X;X;X;X;X;X;X;X;X;ORDURE;DECHET;X;X;X;X;X;X;X;X;X;X;X;X;P
Trial15;coûter;qualité;juste;PRIX;VALEUR;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;EQUITABLE;X;X;X;X;X;X;P
Trial16;penser;hésiter;étudier;REFLECHIR;AVENIR;X;X;X;X;X;REFLEXION;X;X;CONCENTRER;RAISONNER;COGITER;X;X;X;X;X;X;X;X;X;X;X;P
Trial17;compagnie;officier;inconnu;SOLDAT;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial18;fond;creuser;tomber;TROU;PUITS;X;X;X;X;X;X;X;X;GOUFFRE;X;X;X;X;X;X;TERRE;X;X;X;X;X;X;P
Trial19;éclat;boire;briser;VERRE;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;BOUTEILLE;X;X;X;X;X;X;P
Trial20;chanter;éclat;ton;VOIX;X;X;X;X;X;X;X;X;X;SON;TIMBRE;X;X;X;X;X;INTONATION;NOTE;X;X;X;X;X;P
Trial21;poche;masque;honte;CACHER;X;X;X;X;X;X;CACHETTE;X;X;DISSIMULER;X;X;X;X;X;X;VOLEUR;X;X;X;X;X;X;D
Trial22;fétiche;saisir;fortune;CHANCE;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;OBJET;X;X;X;X;X;X;D
Trial23;oiseau;poésie;parole;CHANT;LIBERTE;CHANSON;X;X;X;X;CHANTER;X;X;X;X;X;X;X;X;X;CORBEAU;FABLE;VERS;MELODIE;MELODIEUX;LYRIQUE;LYRISME;D
Trial24;animal;digne;bataille;CHEVAL;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial25;raison;poitrine;briser;COEUR;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial26;recevoir;relever;envelopper;COURRIER;X;X;X;X;X;X;X;X;X;LETTRE;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial27;ventre;arrière;tourner;DOS;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial28;lendemain;vert;croire;ESPOIR;X;X;X;X;X;X;ESPERANCE;ESPERER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial29;promener;nature;feu;FORET;BOIS;AIR;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;P
Trial30;civilisation;époque;personnage;HISTOIRE;X;X;X;X;X;X;HISTORIQUE;X;X;X;X;X;X;X;X;X;CONTEMPORAIN;X;X;X;X;X;X;D
Trial31;étage;cheval;baisser;MONTER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;DESCENDRE;X;X;X;X;X;X;D
Trial32;eau;temps;vêtement;PLUIE;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;IMPERMEABLE;X;X;X;X;X;X;D
Trial33;vivre;sentir;poitrine;RESPIRER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;COEUR;X;X;X;X;X;X;D
Trial34;nourrir;forme;mère;SEIN;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial35;pousser;trou;escalier;TOMBER;CHUTE;DANGER;X;X;X;X;CHUTER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial36;occuper;apprendre;bureau;TRAVAILLER;TRAVAIL;X;X;X;X;X;X;X;X;DEVOIR;ETUDE;ETUDIANT;ETUDIER;X;X;X;X;X;X;X;X;X;X;P
Trial37;découvrir;carte;creuser;TRESOR;CHERCHER;X;X;X;X;X;CHERCHEUR;X;X;FOUILLE;FOUILLER;EXPLORER;X;X;X;X;X;X;X;X;X;X;X;D
Trial38;indigène;chef;groupe;TRIBU;MOI;X;X;X;X;X;X;X;X;CLAN;ETHNIE;INDIEN;X;X;X;X;ARBORIGENE;X;X;X;X;X;X;D
Trial39;voile;emporter;pluie;VENT;X;X;X;X;X;X;X;X;X;TEMPETE;X;X;X;X;X;X;X;X;X;X;X;X;X;D
Trial40;affaire;robe;mettre;VETEMENT;HABIT;SAC;VETEMENTS;X;X;X;HABILLER;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;P
